case_id,trace_is_fit,fitness,missing_tokens,consumed_tokens,remaining_tokens,produced_tokens,num_events,trace,cooler,valve,pump,accumulator,stable_flag
Cycle_0001,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0002,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0003,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0004,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0005,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0006,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0007,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0008,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0009,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0010,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0011,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0012,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0013,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0014,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0015,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0016,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0017,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0018,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0019,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0020,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0021,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0022,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
Cycle_0023,False,0.8333333333333334,1,6,1,6,5,Cycle_Start -> Load_Application -> Cooling_Active -> Steady_State_Reached -> Cycle_Complete,3,100,0,130,1
