case_id,activity,timestamp,resource,cooler_condition,valve_condition,pump_condition,accumulator_condition,stable_flag,load_temp,vibration,steady_state_temp,temp_stability,cooling_efficiency,cooling_power,final_temp,max_temp,temp_rise,warning_reason
Cycle_0001,Cycle_Start,2004-01-01 00:00:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0001,Load_Application,2004-01-01 00:00:15,hydraulic_system,,,,,,35.237700000000004,0.5488999999999999,,,,,,,,
Cycle_0001,Steady_State_Reached,2004-01-01 00:00:35,hydraulic_system,,,,,,,,35.69896666666667,0.1926943146252343,,,,,,
Cycle_0001,Cooling_Active,2004-01-01 00:00:30,cooler,,,,,,,,,,39.60135,1.86275,,,,
Cycle_0001,Cycle_Complete,2004-01-01 00:01:00,hydraulic_system,,,,,,,,,,,,36.152,36.152,0.5820000000000007,
Cycle_0002,Cycle_Start,2004-01-01 00:01:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0002,Load_Application,2004-01-01 00:01:15,hydraulic_system,,,,,,35.981899999999996,0.5423,,,,,,,,
Cycle_0002,Steady_State_Reached,2004-01-01 00:01:35,hydraulic_system,,,,,,,,36.92340000000001,0.2716741430464074,,,,,,
Cycle_0002,Cooling_Active,2004-01-01 00:01:30,cooler,,,,,,,,,,25.786433333333335,1.2555500000000002,,,,
Cycle_0002,Cycle_Complete,2004-01-01 00:02:00,hydraulic_system,,,,,,,,,,,,37.477,37.488,1.320999999999998,
Cycle_0003,Cycle_Start,2004-01-01 00:02:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0003,Load_Application,2004-01-01 00:02:15,hydraulic_system,,,,,,37.195299999999996,0.5586,,,,,,,,
Cycle_0003,Steady_State_Reached,2004-01-01 00:02:35,hydraulic_system,,,,,,,,38.13670000000001,0.2461539017227501,,,,,,
Cycle_0003,Cooling_Active,2004-01-01 00:02:30,cooler,,,,,,,,,,22.21823333333333,1.1132166666666665,,,,
Cycle_0003,Cycle_Complete,2004-01-01 00:03:00,hydraulic_system,,,,,,,,,,,,38.621,38.621,1.1330000000000027,
Cycle_0004,Cycle_Start,2004-01-01 00:03:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,
Cycle_0004,Load_Application,2004-01-01 00:03:15,hydraulic_system,,,,,,38.2043,0.5471000000000001,,,,,,,,
