type,sensor_id,description,severity,evidence,signatures,confidence,likelihood,posterior_probability,classification_method
C1_inadequate_sampling,TS1,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,TS1,Limited dynamic range: 22.96,medium,"{'value_range': np.float64(22.957), 'range_to_std_ratio': np.float64(2.867821491019377)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,TS1,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,TS1,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,TS2,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,TS2,Limited dynamic range: 21.31,medium,"{'value_range': np.float64(21.312000000000005), 'range_to_std_ratio': np.float64(2.876346910342244)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,TS2,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,TS2,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,TS3,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,TS3,Limited dynamic range: 21.31,medium,"{'value_range': np.float64(21.308999999999997), 'range_to_std_ratio': np.float64(2.8570148016829515)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,TS3,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,TS3,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,TS4,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,TS4,Limited dynamic range: 22.73,medium,"{'value_range': np.float64(22.727000000000004), 'range_to_std_ratio': np.float64(2.7992164574168683)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,TS4,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,TS4,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,VS1,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C3_sensor_noise,VS1,857 outliers (6.5% of readings),medium,"{'outlier_count': 857, 'outlier_ratio': 0.06463046757164405, 'outlier_bounds': [np.float64(0.4440000000000001), np.float64(0.756)]}","{'raw_data': 'high_variance', 'events': 'erroneous_events', 'process_model': 'spaghetti_model'}",0.1292609351432881,0.25,0.12500000000000003,bayesian_inference
C3_sensor_noise,VS1,High noise level: 0.170,medium,"{'noise_level': np.float64(0.1699717374450993), 'signal_to_noise_ratio': np.float64(7.986855673419549)}","{'raw_data': 'noisy_signal', 'events': 'incorrect_labels', 'process_model': 'complex_paths'}",0.1699717374450993,0.25,0.12500000000000003,bayesian_inference
C5_high_volume,VS1,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
C5_high_volume,VS1,Potential data drops: 90.0%,high,"{'expected_samples': 132059.0, 'actual_samples': 13260, 'drop_ratio': 0.8995903346231608}","{'raw_data': 'missing_readings', 'events': 'incomplete_traces', 'process_model': 'wrong_variants'}",0.8995903346231608,0.3,0.0703125,bayesian_inference
C1_inadequate_sampling,CE,Detected 220 large sampling gaps,medium,"{'median_interval': np.float64(1.0), 'max_gap': np.float64(541.0), 'gap_count': 220, 'sampling_rate_estimate': np.float64(1.0)}","{'raw_data': 'irregular_sampling', 'events': 'missing_events', 'process_model': 'incomplete_paths'}",1.0,0.25,0.07692307692307691,bayesian_inference
C4_range_too_small,CE,Limited dynamic range: 31.29,medium,"{'value_range': np.float64(31.294999999999998), 'range_to_std_ratio': np.float64(2.7019644317638583)}","{'raw_data': 'compressed_range', 'events': 'merged_activities', 'process_model': 'wrong_splitting'}",0.0,0.25,0.07692307692307691,bayesian_inference
C5_high_volume,CE,Irregular timing (CV: 6.93),medium,"{'timing_cv': np.float64(6.925890429596494), 'mean_interval': np.float64(9.959951730899766), 'max_gap': np.float64(541.0)}","{'raw_data': 'irregular_timestamps', 'events': 'timestamp_imprecision', 'process_model': 'low_fitness'}",1.0,0.25,0.05555555555555556,bayesian_inference
