case_id,num_events,num_quality_issues,quality_ratio,duration,unique_activities
Cycle_0,15,2,0.13333333333333333,5103.120844,15
Cycle_1,15,3,0.2,8973.743141,15
Cycle_10,15,3,0.2,9004.81994,15
Cycle_11,15,4,0.26666666666666666,9023.280938,15
Cycle_12,15,3,0.2,8938.713543,15
Cycle_13,15,3,0.2,5216.02926,15
Cycle_14,15,2,0.13333333333333333,5222.559843,15
Cycle_15,15,2,0.13333333333333333,5250.965775,15
Cycle_16,15,2,0.13333333333333333,5251.437652,15
Cycle_17,15,3,0.2,293.77786,15
Cycle_18,15,2,0.13333333333333333,293.834559,15
Cycle_19,15,2,0.13333333333333333,294.333172,15
Cycle_2,15,4,0.26666666666666666,8981.572335,15
Cycle_20,15,3,0.2,294.018844,15
Cycle_21,15,2,0.13333333333333333,293.969549,15
Cycle_22,15,5,0.3333333333333333,293.510266,15
Cycle_23,15,3,0.2,294.320835,15
Cycle_24,15,4,0.26666666666666666,294.188642,15
Cycle_25,15,4,0.26666666666666666,294.216008,15
Cycle_26,15,2,0.13333333333333333,293.740735,15
Cycle_27,15,3,0.2,293.667838,15
Cycle_28,15,1,0.06666666666666667,319.485395,15
Cycle_29,15,3,0.2,294.034301,15
Cycle_3,15,4,0.26666666666666666,8981.684039,15
Cycle_30,15,3,0.2,293.407655,15
Cycle_31,15,3,0.2,293.580352,15
Cycle_32,15,2,0.13333333333333333,294.262881,15
Cycle_33,15,2,0.13333333333333333,294.21699,15
Cycle_34,15,2,0.13333333333333333,293.518966,15
Cycle_35,15,3,0.2,294.005845,15
Cycle_36,15,2,0.13333333333333333,293.980238,15
Cycle_37,15,3,0.2,293.583243,15
Cycle_38,15,2,0.13333333333333333,294.869117,15
Cycle_39,15,3,0.2,294.34828,15
Cycle_4,15,4,0.26666666666666666,8987.6155,15
Cycle_40,15,4,0.26666666666666666,358.718491,15
Cycle_41,15,3,0.2,294.476144,15
Cycle_42,15,5,0.3333333333333333,310.065514,15
Cycle_43,15,2,0.13333333333333333,303.045093,15
Cycle_44,15,3,0.2,308.006926,15
Cycle_45,15,2,0.13333333333333333,300.768141,15
Cycle_46,15,3,0.2,301.204985,15
Cycle_47,15,2,0.13333333333333333,322.337033,15
Cycle_48,15,5,0.3333333333333333,305.678763,15
Cycle_49,15,2,0.13333333333333333,304.970007,15
Cycle_5,15,5,0.3333333333333333,9002.834382,15
Cycle_6,15,4,0.26666666666666666,8999.401197,15
Cycle_7,15,4,0.26666666666666666,8999.633309,15
Cycle_8,15,3,0.2,8999.945881,15
Cycle_9,15,4,0.26666666666666666,9000.17512,15
