case:concept:name,concept:name,time:timestamp,quality_flag,sensor,value
Cycle_0,Cycle_Start,2023-12-11 12:50:27.513542,False,,
Cycle_0,Conveyor1_Transport,2023-12-11 12:50:27.513542,False,M_Conv1_Speed_mmps,111.0
Cycle_0,Conveyor2_Transport,2023-12-11 12:50:27.513542,False,M_Conv2_Speed_mmps,111.0
Cycle_0,Conveyor3_Transport,2023-12-11 12:50:27.513542,False,M_Conv3_Speed_mmps,111.0
Cycle_0,Conveyor4_Transport,2023-12-11 12:50:27.513542,False,M_Conv4_Speed_mmps,111.0
Cycle_0,Robot3_Place,2023-12-11 12:50:29.032262,False,I_R03_Gripper_Load,1376.0
Cycle_0,Robot4_Pick,2023-12-11 12:50:29.032262,False,I_R04_Gripper_Load,483.0
Cycle_0,Robot3_Pick,2023-12-11 12:50:29.543697,False,I_R03_Gripper_Load,1350.0
Cycle_0,Robot4_Place,2023-12-11 12:50:29.543697,False,I_R04_Gripper_Load,709.0
Cycle_0,Safety_Door_Event,2023-12-11 14:10:13.899434,True,I_SafetyDoor1_Status,
Cycle_0,Robot1_Place,2023-12-11 14:10:14.401239,False,I_R01_Gripper_Load,501.0
Cycle_0,Robot1_Pick,2023-12-11 14:10:14.917866,True,I_R01_Gripper_Load,435.0
Cycle_0,Robot2_Place,2023-12-11 14:10:17.031508,False,I_R02_Gripper_Load,1338.0
Cycle_0,Robot2_Pick,2023-12-11 14:10:27.328374,False,I_R02_Gripper_Load,1300.0
Cycle_0,Cycle_End,2023-12-11 14:15:30.634386,False,,
Cycle_1,Cycle_Start,2023-12-11 11:50:52.119915,False,,
Cycle_1,Conveyor1_Transport,2023-12-11 11:50:52.119915,False,M_Conv1_Speed_mmps,111.0
Cycle_1,Conveyor2_Transport,2023-12-11 11:50:52.119915,False,M_Conv2_Speed_mmps,83.0
Cycle_1,Conveyor3_Transport,2023-12-11 11:50:52.119915,False,M_Conv3_Speed_mmps,111.0
Cycle_1,Conveyor4_Transport,2023-12-11 11:50:52.119915,False,M_Conv4_Speed_mmps,111.0
Cycle_1,Robot3_Pick,2023-12-11 11:51:49.393991,False,I_R03_Gripper_Load,1378.0
Cycle_1,Robot3_Place,2023-12-11 12:52:22.711683,True,I_R03_Gripper_Load,8653.0
Cycle_1,Safety_Door_Event,2023-12-11 12:56:36.286646,True,I_SafetyDoor1_Status,
Cycle_1,Robot2_Place,2023-12-11 14:12:02.709444,False,I_R02_Gripper_Load,1322.0
Cycle_1,Robot1_Place,2023-12-11 14:12:44.595655,False,I_R01_Gripper_Load,464.0
Cycle_1,Robot1_Pick,2023-12-11 14:12:45.101234,True,I_R01_Gripper_Load,75.0
Cycle_1,Robot2_Pick,2023-12-11 14:16:10.232235,False,I_R02_Gripper_Load,1311.0
Cycle_1,Robot4_Place,2023-12-11 14:19:00.674764,False,I_R04_Gripper_Load,655.0
Cycle_1,Robot4_Pick,2023-12-11 14:19:57.210681,False,I_R04_Gripper_Load,-949.0
Cycle_1,Cycle_End,2023-12-11 14:20:25.863056,False,,
Cycle_10,Cycle_Start,2023-12-11 12:35:00.512698,False,,
Cycle_10,Conveyor1_Transport,2023-12-11 12:35:00.512698,False,M_Conv1_Speed_mmps,111.0
Cycle_10,Conveyor2_Transport,2023-12-11 12:35:00.512698,False,M_Conv2_Speed_mmps,83.0
Cycle_10,Conveyor3_Transport,2023-12-11 12:35:00.512698,False,M_Conv3_Speed_mmps,111.0
Cycle_10,Conveyor4_Transport,2023-12-11 12:35:00.512698,False,M_Conv4_Speed_mmps,111.0
Cycle_10,Robot3_Pick,2023-12-11 12:36:05.512643,False,I_R03_Gripper_Load,1365.0
Cycle_10,Robot3_Place,2023-12-11 12:36:48.906776,True,I_R03_Gripper_Load,8687.0
Cycle_10,Robot1_Place,2023-12-11 13:38:03.028864,False,I_R01_Gripper_Load,510.0
Cycle_10,Robot1_Pick,2023-12-11 13:38:03.540482,True,I_R01_Gripper_Load,88.0
Cycle_10,Robot2_Place,2023-12-11 13:38:32.609930,False,I_R02_Gripper_Load,1358.0
Cycle_10,Robot2_Pick,2023-12-11 13:38:34.121852,False,I_R02_Gripper_Load,1260.0
Cycle_10,Safety_Door_Event,2023-12-11 13:40:43.253014,True,I_SafetyDoor1_Status,
Cycle_10,Robot4_Place,2023-12-11 15:04:44.758508,False,I_R04_Gripper_Load,618.0
Cycle_10,Robot4_Pick,2023-12-11 15:04:45.283279,False,I_R04_Gripper_Load,-1121.0
Cycle_10,Cycle_End,2023-12-11 15:05:05.332638,False,,
Cycle_11,Cycle_Start,2023-12-11 12:39:54.956809,False,,
Cycle_11,Conveyor1_Transport,2023-12-11 12:39:54.956809,False,M_Conv1_Speed_mmps,111.0
Cycle_11,Conveyor2_Transport,2023-12-11 12:39:54.956809,False,M_Conv2_Speed_mmps,83.0
Cycle_11,Conveyor3_Transport,2023-12-11 12:39:54.956809,False,M_Conv3_Speed_mmps,111.0
Cycle_11,Conveyor4_Transport,2023-12-11 12:39:54.956809,False,M_Conv4_Speed_mmps,111.0
Cycle_11,Robot3_Pick,2023-12-11 12:41:13.342418,False,I_R03_Gripper_Load,1369.0
Cycle_11,Robot3_Place,2023-12-11 12:41:43.365318,True,I_R03_Gripper_Load,8424.0
Cycle_11,Safety_Door_Event,2023-12-11 13:45:30.154027,True,I_SafetyDoor1_Status,
Cycle_11,Robot2_Place,2023-12-11 15:06:06.750500,False,I_R02_Gripper_Load,1329.0
Cycle_11,Robot2_Pick,2023-12-11 15:06:07.245112,True,I_R02_Gripper_Load,1233.0
Cycle_11,Robot1_Place,2023-12-11 15:07:33.265670,False,I_R01_Gripper_Load,453.0
Cycle_11,Robot1_Pick,2023-12-11 15:07:33.803253,True,I_R01_Gripper_Load,118.0
Cycle_11,Robot4_Place,2023-12-11 15:09:13.336781,False,I_R04_Gripper_Load,645.0
Cycle_11,Robot4_Pick,2023-12-11 15:09:13.849324,False,I_R04_Gripper_Load,-1343.0
Cycle_11,Cycle_End,2023-12-11 15:10:18.237747,False,,
Cycle_12,Cycle_Start,2023-12-11 12:46:13.858526,False,,
Cycle_12,Conveyor1_Transport,2023-12-11 12:46:13.858526,False,M_Conv1_Speed_mmps,111.0
Cycle_12,Conveyor2_Transport,2023-12-11 12:46:13.858526,False,M_Conv2_Speed_mmps,83.0
Cycle_12,Conveyor3_Transport,2023-12-11 12:46:13.858526,False,M_Conv3_Speed_mmps,111.0
Cycle_12,Conveyor4_Transport,2023-12-11 12:46:13.858526,False,M_Conv4_Speed_mmps,111.0
Cycle_12,Robot1_Pick,2023-12-11 12:46:17.865705,True,I_R01_Gripper_Load,99.0
Cycle_12,Robot1_Place,2023-12-11 12:46:21.431607,False,I_R01_Gripper_Load,605.0
