case_id,trace_is_fit,fitness,missing_tokens,consumed_tokens,remaining_tokens,produced_tokens,num_events,quality_issues
Lab_2004-03-01,True,1.0,0,297,0,297,122,31
Lab_2004-03-05,True,1.0,0,293,0,293,122,44
Lab_2004-03-13,True,1.0,0,19,0,19,5,0
Lab_2004-03-08,False,0.9946555668530758,1,280,2,281,122,45
Lab_2004-03-06,False,0.9944168562392499,1,268,2,269,122,42
Lab_2004-03-07,False,0.9942233442233442,1,259,2,260,122,42
Lab_2004-03-09,False,0.9931402119726865,1,218,2,219,122,44
Lab_2004-03-12,False,0.9872187336473051,2,195,3,196,122,58
Lab_2004-02-28,False,0.9803149606299213,5,254,5,254,119,56
Lab_2004-03-11,False,0.98,3,150,3,150,75,51
Lab_2004-03-10,False,0.9735275689223057,1,56,2,57,48,9
Lab_2004-03-03,False,0.9729788467110982,6,204,5,203,122,49
Lab_2004-03-02,False,0.9674246231155779,7,200,6,199,122,53
Lab_2004-03-04,False,0.9510869565217391,9,184,9,184,122,41
Lab_2004-02-29,False,0.9458128078817734,11,203,11,203,122,46
