type,sensor,count,percentage,outlier_count,outlier_indices,mote_id,gap_count,max_gap_seconds
missing_value,temperature,526.0,0.022734325633341143,,,,,
missing_value,humidity,899.0,0.03885581510337203,,,,,
missing_value,light,903.0,0.03902869970894877,,,,,
missing_value,voltage,93879.0,4.057558471734664,,,,,
sensor_noise,temperature,,0.00017288460557673873,4.0,"[579190, 1678879, 1839173, 1974346]",,,
sensor_noise,humidity,,0.1695565769193865,3923.0,"[24861, 731266, 1073384, 1073455, 1073646, 1073940, 1074647, 1074852, 1074916, 1075014, 1075071, 1075135, 1075217, 1075644, 1075904, 1075935, 1076520, 1076563, 1076656, 1077033, 1077491, 1077681, 1077940, 1078292, 1078534, 1078850, 1078876, 1079059, 1079092, 1079122, 1079153, 1079641, 1079734, 1079850, 1080237, 1080302, 1080542, 1080672, 1081291, 1081349, 1081449, 1081477, 1081844, 1081897, 1081951, 1081988, 1082193, 1082562, 1082853, 1082950, 1083017, 1083039, 1083070, 1083425, 1083810, 1083847, 1084007, 1084198, 1084238, 1084298, 1084330, 1084950, 1085334, 1085398, 1085503, 1085631, 1085665, 1085704, 1085773, 1086115, 1086243, 1086366, 1086463, 1087080, 1087459, 1087551, 1087647, 1087863, 1087990, 1088414, 1088593, 1088753, 1089933, 1090023, 1090450, 1090550, 1090685, 1090844, 1090985, 1091049, 1091108, 1091142, 1091341, 1091480, 1091735, 1091939, 1091973, 1092332, 1092646, 1093308]",,,
sensor_noise,light,,6.730657022010804,155726.0,"[21674, 21871, 22660, 22694, 22719, 22770, 22782, 22850, 22897, 22950, 23116, 23169, 23421, 23543, 23559, 23621, 23667, 23696, 23737, 23771, 23828, 23855, 23904, 23973, 24153, 24179, 24226, 24260, 24361, 24405, 24425, 24474, 24534, 24612, 24757, 24787, 24963, 24972, 24998, 25001, 25025, 25049, 25066, 25073, 25090, 25099, 25128, 25130, 25143, 25156, 25170, 25188, 25194, 25206, 25221, 25261, 25270, 25301, 25323, 25332, 25354, 25385, 25404, 25494, 25505, 25522, 25560, 25571, 25597, 25617, 25628, 25635, 25657, 25684, 25705, 25732, 25753, 25766, 25808, 25810, 25823, 25874, 25885, 25903, 25920, 25942, 25953, 25959, 25981, 25984, 26003, 26036, 26047, 26067, 26074, 26087, 26095, 26127, 26143, 26152]",,,
sensor_noise,voltage,,0.7312586604382106,16919.0,"[12, 164, 188, 212, 322, 369, 405, 419, 460, 504, 521, 570, 632, 682, 724, 747, 770, 802, 906, 987, 1026, 1154, 1204, 1258, 1284, 1318, 1359, 1387, 1480, 1538, 1605, 1655, 1674, 1716, 1760, 1804, 1932, 1946, 2027, 2138, 2160, 2195, 2236, 2286, 2326, 2349, 2390, 2404, 2449, 2478, 2516, 2555, 2599, 2685, 3283, 3299, 3384, 3423, 3483, 3509, 3538, 3570, 3718, 3810, 3846, 3932, 3959, 4012, 4032, 4074, 4132, 4164, 4177, 4233, 4266, 4356, 4456, 4493, 4522, 4551, 4581, 4618, 4658, 4732, 4818, 4833, 4895, 4952, 5056, 5094, 5149, 5238, 5314, 5444, 5473, 5528, 5559, 5575, 5636, 5676]",,,
sampling_gap,,,32.6530612244898,,,2.0,16.0,673640.833359
sampling_gap,,,46.875,,,3.0,15.0,861212.243773
