case_id,activity,timestamp,resource,cooler_condition,valve_condition,pump_condition,accumulator_condition,stable_flag_x,temp_increase_rate,initial_temp,load_temp,vibration,steady_state_temp,temp_stability,cooling_efficiency,cooling_power,final_temp,max_temp,temp_rise,cycle_number,cooler,valve,pump,accumulator,stable_flag_y
Cycle_0001,Cycle_Start,2004-01-01 00:00:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,,,0,3,100,0,130,1
Cycle_0001,System_Initialization,2004-01-01 00:00:05,hydraulic_system,,,,,,-0.03939999999999984,35.57,,,,,,,,,,0,3,100,0,130,1
Cycle_0001,Load_Application,2004-01-01 00:00:15,hydraulic_system,,,,,,,,35.237700000000004,0.5488999999999999,,,,,,,,0,3,100,0,130,1
Cycle_0001,Steady_State_Reached,2004-01-01 00:00:35,hydraulic_system,,,,,,,,,,35.69896666666667,0.1926943146252343,,,,,,0,3,100,0,130,1
Cycle_0001,Cooling_Active,2004-01-01 00:00:30,cooler,,,,,,,,,,,,39.60135,1.86275,,,,0,3,100,0,130,1
Cycle_0001,Cycle_Complete,2004-01-01 00:01:00,hydraulic_system,,,,,,,,,,,,,,36.152,36.152,0.5820000000000007,0,3,100,0,130,1
Cycle_0002,Cycle_Start,2004-01-01 00:01:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,,,1,3,100,0,130,1
Cycle_0002,System_Initialization,2004-01-01 00:01:05,hydraulic_system,,,,,,-0.0429000000000002,36.156,,,,,,,,,,1,3,100,0,130,1
Cycle_0002,Load_Application,2004-01-01 00:01:15,hydraulic_system,,,,,,,,35.981899999999996,0.5423,,,,,,,,1,3,100,0,130,1
Cycle_0002,Steady_State_Reached,2004-01-01 00:01:35,hydraulic_system,,,,,,,,,,36.92340000000001,0.2716741430464074,,,,,,1,3,100,0,130,1
Cycle_0002,Cooling_Active,2004-01-01 00:01:30,cooler,,,,,,,,,,,,25.786433333333335,1.2555500000000002,,,,1,3,100,0,130,1
Cycle_0002,Cycle_Complete,2004-01-01 00:02:00,hydraulic_system,,,,,,,,,,,,,,37.477,37.488,1.320999999999998,1,3,100,0,130,1
Cycle_0003,Cycle_Start,2004-01-01 00:02:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,,,2,3,100,0,130,1
Cycle_0003,System_Initialization,2004-01-01 00:02:05,hydraulic_system,,,,,,-0.060900000000000176,37.488,,,,,,,,,,2,3,100,0,130,1
Cycle_0003,Load_Application,2004-01-01 00:02:15,hydraulic_system,,,,,,,,37.195299999999996,0.5586,,,,,,,,2,3,100,0,130,1
Cycle_0003,Steady_State_Reached,2004-01-01 00:02:35,hydraulic_system,,,,,,,,,,38.13670000000001,0.2461539017227501,,,,,,2,3,100,0,130,1
Cycle_0003,Cooling_Active,2004-01-01 00:02:30,cooler,,,,,,,,,,,,22.21823333333333,1.1132166666666665,,,,2,3,100,0,130,1
Cycle_0003,Cycle_Complete,2004-01-01 00:03:00,hydraulic_system,,,,,,,,,,,,,,38.621,38.621,1.1330000000000027,2,3,100,0,130,1
Cycle_0004,Cycle_Start,2004-01-01 00:03:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,,,3,3,100,0,130,1
Cycle_0004,System_Initialization,2004-01-01 00:03:05,hydraulic_system,,,,,,-0.06640000000000015,38.633,,,,,,,,,,3,3,100,0,130,1
Cycle_0004,Load_Application,2004-01-01 00:03:15,hydraulic_system,,,,,,,,38.2043,0.5471000000000001,,,,,,,,3,3,100,0,130,1
Cycle_0004,Steady_State_Reached,2004-01-01 00:03:35,hydraulic_system,,,,,,,,,,39.121766666666666,0.21856451119876547,,,,,,3,3,100,0,130,1
Cycle_0004,Cooling_Active,2004-01-01 00:03:30,cooler,,,,,,,,,,,,20.45981666666667,1.0621500000000001,,,,3,3,100,0,130,1
Cycle_0004,Cycle_Complete,2004-01-01 00:04:00,hydraulic_system,,,,,,,,,,,,,,39.461,39.473,0.8279999999999959,3,3,100,0,130,1
Cycle_0005,Cycle_Start,2004-01-01 00:04:00,hydraulic_system,3.0,100.0,0.0,130.0,1.0,,,,,,,,,,,,4,3,100,0,130,1
Cycle_0005,System_Initialization,2004-01-01 00:04:05,hydraulic_system,,,,,,-0.05779999999999959,39.461,,,,,,,,,,4,3,100,0,130,1
Cycle_0005,Load_Application,2004-01-01 00:04:15,hydraulic_system,,,,,,,,39.1043,0.5522,,,,,,,,4,3,100,0,130,1
Cycle_0005,Steady_State_Reached,2004-01-01 00:04:35,hydraulic_system,,,,,,,,,,40.0655,0.24679556316919424,,,,,,4,3,100,0,130,1
Cycle_0005,Cooling_Active,2004-01-01 00:04:30,cooler,,,,,,,,,,,,19.787016666666673,1.0704666666666667,,,,4,3,100,0,130,1
